HolderAddress,Balance_2021-04-14_23-2,Balance_2021-04-16_21-11,Balance_2021-04-18_12-36,Balance_2021-04-19_18-40,Balance_2021-04-20_17-45,Balance_2021-04-21_17-52,Balance_2021-04-22_17-38,Balance_2021-04-23_22-34,Balance_2021-04-24_9-19,Balance_2021-04-25_18-31,Balance_2021-04-26_21-3,Balance_2021-04-27_19-45,Balance_2021-04-28_20-51,Balance_2021-05-01_9-36,Balance_2021-05-04_20-54,Balance_2021-05-05_18-45,Balance_2021-05-09_10-5,Balance_2021-05-12_22-7,Balance_2021-07-18_13-6
0xe5c405c5578d84c5231d3a9a29ef4374423fa0c2,1155613.11650227,1257549.91568678,1257549.91568678,1257549.91568678,1257549.91568678,1257549.91568678,1257549.91568678,1257549.91568678,1257549.91568678,1257549.91568678,1215071.89138532,1458455.89138532,1458455.89138532,1458455.89138532,1104060.26294615,1104060.26294615,1104060.26294615,869641.62835984,771144.41342724
0xa44e5137293e855b1b7bc7e2c6f8cd796ffcb037,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1148073.63191394,1184090.46518709
0xc4b4a9c055178f8de3eb1b9995cd05431a51e688,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0
0x8522de7ad91cb791dab6e1e96a75a925b8746e2a,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707,1056408.51207707
0x2115400a17030cb7595cd6f7e402d0e0bc914832,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,1050000.56073589,650000.56073589
0xece80c98a3b7f684568d0713726a94c937832b97,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0,1041636.0
0x2b62dd90d422b0cfc32caa7ff62445c530f6e848,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532,1033311.39581532
0x8cd9f9c08c6a3f891bc570f1d6a3dc91c1f62bb0,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,1022576.68206303,0.0
0x00138888221a216e5c865986a6e421ef6def30ea,1011579.69799003,1011579.69799003,1011579.69799003,1011579.69799003,1011579.69799003,1011579.69799003,1011579.69799003,1011579.69799003,1011579.69799003,1011579.69799003,1011579.69799003,1011579.69799003,1011579.69799003,1011579.69799003,0.0,0.0,0.0,0.0,0.0
0x534b86280545b270b0b0fc2a57096c42290b801f,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892,1005893.98752892
