HolderAddress,Balance_2021-04-14_23-1,Balance_2021-04-15_15-56,Balance_2021-04-16_19-36,Balance_2021-04-18_11-17,Balance_2021-04-19_17-11,Balance_2021-04-20_17-0,Balance_2021-04-21_16-57,Balance_2021-04-22_16-35,Balance_2021-04-23_21-26,Balance_2021-04-24_8-20,Balance_2021-04-25_17-34,Balance_2021-04-26_20-7,Balance_2021-04-27_18-51,Balance_2021-04-28_19-57,Balance_2021-04-30_12-57,Balance_2021-05-01_8-43,Balance_2021-05-04_20-1,Balance_2021-05-05_17-51,Balance_2021-05-09_9-11,Balance_2021-05-10_21-52,Balance_2021-05-12_21-14,Balance_2021-07-17_22-4,Balance_2021-07-18_12-12
0xc9f5296eb3ac266c94568d790b6e91eba7d76a11,1123.34374670053,843.843746700533,843.843746700533,1090.185546700533,1303.697146700533,1303.697146700533,1313.359500200533,1313.359500200533,1313.359500200533,1313.359500200533,1484.409600200533,1484.409600200533,1484.409600200533,1484.409600200533,1278.909600200533,1286.1939285537485,1286.1939285537485,1286.1939285537485,1286.1939285537485,1286.1939285537485,1286.1939285537485,24208.7322793219,23230.4456173219
0x369ffe0a427c844e357663e1eff5ec24aa101032,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129,1123.129
0x2b5c3b74ea2d57f82c0610baf34292bd76f1f7d9,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31,1121.31
0xaf3c122cd103bc40a3482d9848a1bf541dfece91,1120.78678818532,1120.7867881853226,1120.7867881853226,1120.7867881853226,1120.7867881853226,1120.7867881853226,1120.7867881853226,1120.7867881853226,1120.7867881853226,1120.7867881853226,1120.7867881853226,1120.7867881853226,232.78678818532265,232.78678818532265,232.78678818532265,232.78678818532265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x20fc5fb78c65af5f96abbd7d5c234d425c76e2ee,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105,1120.2567105
0x84ccbe03594d3ed6ccc9a97b512eddb98a08c48f,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0
0xd22414ef8a38f0858f91fb0f569cee2fe5d79a26,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,1119.89861129,0.0,0.0
0x473dff3f18d2b44e98129b7b1ef6f5a7d28b5270,1119.55319005988,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,1119.5531900598792,0.2096835902233291,0.20968359022332916
0x09df0d06ef397ac8c3e7196b65fdfe3dc364f69b,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076,1119.076
0x27f210c78742b1df7a023423512562267f1dfee3,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52,1118.52
