HolderAddress,Balance_2021-04-20_18-8,Balance_2021-04-21_18-15,Balance_2021-04-22_18-25,Balance_2021-04-24_9-42,Balance_2021-04-25_18-54,Balance_2021-04-26_21-25,Balance_2021-04-27_20-8,Balance_2021-04-28_21-13,Balance_2021-05-01_9-59,Balance_2021-05-04_21-17,Balance_2021-05-05_19-8,Balance_2021-05-09_10-27,Balance_2021-05-12_22-29,Balance_2021-07-18_13-29
0xe54ffc4c1f779eb86b884f9e1663443973abf169,405.789678336062,405.7896783360621,405.7896783360621,647.1081726370518,647.1081726370518,647.1081726370518,647.1081726370518,647.1081726370518,647.1081726370518,647.1081726370518,647.1081726370518,647.1081726370518,801.2239178961007,0.0
0xc6523213a34baab5de5087facf3dd35809bde4dd,405.68774275,405.68774275,405.68774275,405.68774275,405.68774275,405.68774275,405.68774275,405.68774275,405.68774275,405.68774275,405.68774275,405.68774275,405.68774275,405.68774275
0x8ed30ccddda87ab9bcc3211a5f32b206ac8d57b3,405.6133748,405.6133748,405.6133748,405.6133748,405.6133748,405.6133748,405.6133748,405.6133748,405.6133748,405.6133748,405.6133748,405.6133748,405.6133748,405.6133748
0xe6a4e89eb0ab7bfedba4deda9e0068554d720a36,405.477069108627,405.4770691086273,405.4770691086273,405.4770691086273,405.4770691086273,405.4770691086273,405.4770691086273,405.4770691086273,405.4770691086273,405.4770691086273,405.4770691086273,405.4770691086273,405.4770691086273,0.0
0xdc648d72d9186b7f868372a683e5432462246b24,405.260740696393,405.2607406963929,405.2607406963929,405.2607406963929,405.2607406963929,405.2607406963929,405.2607406963929,405.2607406963929,405.2607406963929,405.2607406963929,405.2607406963929,405.2607406963929,405.2607406963929,405.26074069639293
0xa16a453888196dabb44ae5c5b5391856bd6db259,405.109053538605,405.10905353860494,405.10905353860494,405.10905353860494,405.10905353860494,405.10905353860494,405.10905353860494,405.10905353860494,405.10905353860494,405.10905353860494,405.10905353860494,405.10905353860494,405.10905353860494,0.0
0xdc15e5a056f567e43bbf3d4b19965085d1fd05ab,405.015704957845,405.0157049578449,405.0157049578449,405.0157049578449,405.0157049578449,405.0157049578449,405.0157049578449,405.0157049578449,405.0157049578449,405.0157049578449,405.0157049578449,405.0157049578449,405.0157049578449,0.015704957844913985
0x87ef413575870d4a93458c18c292334f8b6bbaec,404.612248836588,404.61224883658815,404.61224883658815,404.61224883658815,0.0002488365881781,0.0002488365881781,0.0002488365881781,0.0002488365881781,0.0002488365881781,0.0002488365881781,0.0002488365881781,5.4012417724571e-05,5.4012417724571e-05,0.000428990208344194
0xfb4b5863acf4c891bd06ee1ac10cb9daa26de261,404.385754,404.385754,404.385754,404.385754,404.385754,404.385754,404.385754,404.385754,404.385754,404.385754,404.385754,404.385754,404.385754,404.385754
0x860be57d3951c3dadc7a21156b82949596a18de7,404.286267275629,404.286267275629,404.286267275629,404.286267275629,404.286267275629,404.286267275629,404.286267275629,404.286267275629,404.286267275629,404.286267275629,404.286267275629,404.286267275629,404.286267275629,404.286267275629
0x8f285cb854ba5af886ebd1ea2f670eaff4cfbc97,403.973721,403.973721,403.973721,403.973721,403.973721,403.973721,403.973721,403.973721,403.973721,403.973721,403.973721,403.973721,403.973721,0.0
0x20033e304e104f7d2f9c9c163ba41148936b63a1,403.8602,403.8602,403.8602,403.8602,403.8602,403.8602,403.8602,403.8602,403.8602,403.8602,403.8602,403.8602,403.8602,0.0
0x9864e8b36edaf9fd6f63ef28a83e251b7ad11ec0,403.58105264,403.58105264,403.58105264,1796.13459023,1796.13459023,1642.27712356,1642.27712356,1620.91987516,1469.17389755,1453.3422926,1453.3422926,1441.21352238,1441.21352238,621.80753532
0xbfe26490e0d33ddfbf4d27248288ccc5a14dc41e,403.4751056,403.4751056,403.4751056,403.4751056,403.4751056,403.4751056,403.4751056,403.4751056,403.4751056,403.4751056,403.4751056,0.0,0.0,0.0
0xd84409d9593413ca38a3b2b9a2ba776e7c1ebca1,403.379911213889,403.3799112138894,403.3799112138894,403.3799112138894,403.3799112138894,403.3799112138894,403.3799112138894,403.3799112138894,403.3799112138894,403.3799112138894,403.3799112138894,403.3799112138894,403.3799112138894,0.0
0xed443b3f31c85e88369d7bee024e54776c4d02b9,403.373127730798,403.37312773079833,403.37312773079833,403.37312773079833,403.37312773079833,403.37312773079833,403.37312773079833,403.37312773079833,403.37312773079833,403.37312773079833,403.37312773079833,403.37312773079833,403.37312773079833,0.0
0x4a0584ad9aa9bfef4648ef2879c07365ddd57399,402.25,402.25,402.25,402.25,402.25,402.25,402.25,402.25,402.25,402.25,402.25,402.25,402.25,402.25
0x757841d66a9fdd663fc6caea5a0bfd9878f5b191,401.995628002176,401.9956280021759,401.9956280021759,401.9956280021759,401.9956280021759,401.9956280021759,401.9956280021759,401.9956280021759,401.9956280021759,401.9956280021759,401.9956280021759,401.9956280021759,401.9956280021759,401.99562800217586
0xbec7de67579642df01fec1eae1833d668a6b3fdb,401.753639967414,453.9768946059449,453.9768946059449,503.2582242808055,508.9583263468717,508.9583263468717,508.9583263468717,508.9583263468717,508.9583263468717,508.9583263468717,508.9583263468717,627.2218876017114,627.2218876017114,749.9458675259723
0xb5ed76c4e28838f31784f44eb3969284d2fde8dd,401.103099,401.103099,401.103099,401.103099,401.103099,401.103099,401.103099,401.103099,401.103099,401.103099,401.103099,401.103099,401.103099,0.0
0x1c93c97fcab328e5e30c6b56f58caa09bcf10cad,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0
0x991af86086a554e41556217ddcb85f56d9c6d83d,400.98642,400.98642,400.98642,400.98642,400.98642,1081.63642,1081.63642,1081.63642,0.0,0.0,0.0,0.0,1076.83,0.0
0x7a3306f069a67abd37c5cc0c2569464235b04903,400.836977484467,400.8369774844669,400.8369774844669,400.8369774844669,400.8369774844669,400.8369774844669,400.8369774844669,400.8369774844669,400.8369774844669,400.8369774844669,400.8369774844669,400.8369774844669,400.8369774844669,4.84466875852e-07
0xc6529c8e03e5ce72b45e58b99ab33db1d0369c93,400.77619432865,400.7761943286501,400.7761943286501,400.7761943286501,400.7761943286501,400.7761943286501,400.7761943286501,400.7761943286501,400.7761943286501,400.7761943286501,400.7761943286501,400.7761943286501,400.7761943286501,400.7761943286501
0x0b27e8b150ae56b82fbbc7d12db72f326aea5a98,400.775399651046,400.775399651046,400.775399651046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.81638935922774,141.81638935922774,0.0
0xa958e6e90f570ca0293a01cdbbb6997de5848850,400.450979625149,400.4509796251487,400.4509796251487,400.4509796251487,400.4509796251487,400.4509796251487,400.4509796251487,400.4509796251487,400.4509796251487,400.4509796251487,400.4509796251487,400.4509796251487,400.4509796251487,6.988314941e-09
