HolderAddress,Balance_2021-04-14_23-2,Balance_2021-04-16_20-48,Balance_2021-04-18_12-19,Balance_2021-04-19_18-20,Balance_2021-04-20_17-34,Balance_2021-04-21_17-42,Balance_2021-04-22_17-20,Balance_2021-04-23_22-23,Balance_2021-04-24_9-7,Balance_2021-04-25_18-18,Balance_2021-04-26_20-52,Balance_2021-04-27_19-34,Balance_2021-04-28_20-40,Balance_2021-05-01_9-25,Balance_2021-05-04_20-44,Balance_2021-05-05_18-35,Balance_2021-05-09_9-55,Balance_2021-05-12_21-57,Balance_2021-07-18_12-55
0x0e3264d79c929eb641e4448b606897ae4f247678,414932.582762423,386518.19876189,389724.334072624,375079.790628659,380703.46615634,359859.051233481,363297.926845018,356499.914087123,350512.897020017,334992.340011578,325403.246359769,326789.18983367,321386.590509824,292071.250840049,261471.647924636,244500.086139827,219982.550123066,222621.528854707,60293.403162975
0xaffe465ef76f59c06527b6954acead5998ddf6cb,410431.966068148,410361.399403876,476393.496278973,481134.434974211,665486.170294916,679298.998018547,690756.301858533,841191.995004692,841191.995004692,841191.995004692,852355.838024127,865617.959211521,877734.083746692,904247.919535434,930183.184423364,948293.871740646,1069287.248034967,1114252.43182679,81556.515711376
0x8b8dd81f28ce5a925433f97b772d1a6866ca7a02,408602.027734144,391267.864537831,380524.802440039,370777.124157316,376336.288610971,384147.522792488,361657.687946739,357340.802658652,349860.044280565,333616.377881648,326049.082385227,318170.237466243,311650.686134744,286906.088845592,253696.213320446,244300.923624794,222125.749955463,174657.384212564,28262.731006771
0x0493b5d338d3f60b384cb9c9e1929db25018c476,405665.136727339,389407.565801953,379884.05930012,372672.500577294,370633.585471792,363751.770506609,362278.666119714,356204.781371892,350345.267115872,334077.360118066,328742.332402739,333857.356500959,314628.618195092,287526.76215236,261370.939668172,246857.614515834,219284.282352169,176627.303223537,23221.754034571
0xfd27d5f814c1ce1f7012ba06a2a82d97225689a5,404841.886653473,404772.281106487,417039.332369212,421189.594544722,427504.607175461,436377.890728982,452344.93191778,462893.895024012,462893.895024012,462893.895024012,469037.171243223,476335.094867281,483002.395688005,497592.516365757,511864.259147126,521830.267672697,588410.900343449,613154.489428306,207192.879494052
0x6a95040d5452f3346bbea43adb62d26761643763,404484.405857435,384840.289299617,381388.257185542,375132.626894498,380757.094610995,359934.191780045,361388.418963176,356337.35142689,350775.845889374,334050.243516004,326175.0856322,318779.615634938,310266.252822232,287721.532262717,250389.347924691,244313.274788586,224349.378536363,197816.948678854,12754.178950389
0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,402942.802791585,263937.884671128,292544.491707259,263604.628913288,165266.006072879,1992733.20676471,167814.157902329,1624903.772579143,1019874.734865193,890639.796364502,888710.510059872,988024.299344588,893995.839829285,594067.572536446,307501.822901922,226297.763392776,979961.549318049,456364.01964713,1476976.744902731
0xd56911c6ecb072d94584daf55f98014a5d654110,394929.574499552,397396.08029846,409439.588009268,413514.219592859,419714.153194119,428425.73812258,444101.810518267,454458.538943864,454458.538943864,454458.538943864,460489.865701298,629176.185634868,637982.815555831,657254.4513746,676105.551749736,689269.341900177,777213.625141814,709896.661027853,380398.183113082
0xa66589142c46a20e747c68987a0cd46e5bc9ffc8,392459.173294983,392391.696740981,404283.541325375,408306.861332656,428565.981707917,487078.636990319,504900.815483404,516675.414244265,516675.414244265,516675.414244265,523532.449559481,531678.285467271,539120.229399714,555405.509300976,571335.420437887,582459.3337983,656775.66489621,684394.098143522,0.0
0xcbd0edbf33209e309b88c86772de17012d586fd6,384290.965468615,384224.893296403,395869.234281407,399808.817390158,405803.26208775,414226.112627863,429382.621567296,439396.089418404,439396.089418404,439396.089418404,445227.51553129,452154.975875348,458483.825616281,472333.310430969,485880.579113338,495340.684809956,558541.495926755,582029.030324888,0.0
0x0d0707963952f2fba59dd06f2b425ace40b492fe,373806.066945148,293949.408538306,182722.055869507,210463.729388293,215879.625008163,197611.919160108,402028.873817912,496914.909466648,438343.166000448,521003.329747906,749740.805800342,731657.15269945,711980.998311479,736249.058157904,718543.96046603,721743.871370824,766947.248127068,380000.560391708,228947.576904856
0xd7b65068b5ac722626bafb447a00e051427d2dd4,335723.873613456,335666.15171108,345838.868772993,349280.563271533,354517.423814386,361875.785743986,375116.799321806,383864.754692494,383864.754692494,383864.754692494,388959.199108905,395011.159810543,400540.162939598,412639.335460784,424474.48623874,432739.013939484,487952.440822342,508471.596197631,0.0
